game_id,turn,plateau_0,plateau_1,plateau_2,plateau_3,plateau_4,plateau_5,plateau_6,plateau_7,plateau_8,plateau_9,plateau_10,plateau_11,plateau_12,plateau_13,plateau_14,plateau_15,plateau_16,plateau_17,plateau_18,tile_0,tile_1,tile_2,position,final_score
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,2,94
0,1,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,3,94
0,2,0,0,163,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,6,94
0,3,0,0,163,524,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,5,94
0,4,0,0,163,524,0,564,164,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,8,94
0,5,0,0,163,524,0,564,164,0,924,0,0,0,0,0,0,0,0,0,0,9,2,3,7,94
0,6,0,0,163,524,0,564,164,923,924,0,0,0,0,0,0,0,0,0,0,9,7,8,9,94
0,7,0,0,163,524,0,564,164,923,924,978,0,0,0,0,0,0,0,0,0,5,6,8,4,94
0,8,0,0,163,524,568,564,164,923,924,978,0,0,0,0,0,0,0,0,0,9,6,4,10,94
0,9,0,0,163,524,568,564,164,923,924,978,964,0,0,0,0,0,0,0,0,1,2,3,12,94
0,10,0,0,163,524,568,564,164,923,924,978,964,0,123,0,0,0,0,0,0,5,7,4,13,94
0,11,0,0,163,524,568,564,164,923,924,978,964,0,123,574,0,0,0,0,0,5,2,3,1,94
0,12,0,523,163,524,568,564,164,923,924,978,964,0,123,574,0,0,0,0,0,1,7,8,0,94
0,13,178,523,163,524,568,564,164,923,924,978,964,0,123,574,0,0,0,0,0,9,7,3,11,94
0,14,178,523,163,524,568,564,164,923,924,978,964,973,123,574,0,0,0,0,0,1,2,8,14,94
0,15,178,523,163,524,568,564,164,923,924,978,964,973,123,574,128,0,0,0,0,9,2,8,18,94
0,16,178,523,163,524,568,564,164,923,924,978,964,973,123,574,128,0,0,0,928,5,2,8,15,94
0,17,178,523,163,524,568,564,164,923,924,978,964,973,123,574,128,528,0,0,928,1,7,3,16,94
0,18,178,523,163,524,568,564,164,923,924,978,964,973,123,574,128,528,173,0,928,5,6,3,17,94
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,27
1,1,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,8,2,27
1,2,0,0,928,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,4,1,27
1,3,0,964,928,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,3,27
1,4,0,964,928,574,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,5,27
1,5,0,964,928,574,123,563,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,8,27
1,6,0,964,928,574,123,563,0,0,924,0,0,0,0,0,0,0,0,0,0,5,2,3,6,27
1,7,0,964,928,574,123,563,523,0,924,0,0,0,0,0,0,0,0,0,0,9,2,3,0,27
1,8,923,964,928,574,123,563,523,0,924,0,0,0,0,0,0,0,0,0,0,1,6,3,10,27
1,9,923,964,928,574,123,563,523,0,924,0,163,0,0,0,0,0,0,0,0,9,7,3,11,27
1,10,923,964,928,574,123,563,523,0,924,0,163,973,0,0,0,0,0,0,0,5,7,3,9,27
1,11,923,964,928,574,123,563,523,0,924,573,163,973,0,0,0,0,0,0,0,9,6,3,14,27
1,12,923,964,928,574,123,563,523,0,924,573,163,973,0,0,963,0,0,0,0,1,2,4,13,27
1,13,923,964,928,574,123,563,523,0,924,573,163,973,0,124,963,0,0,0,0,5,2,4,7,27
1,14,923,964,928,574,123,563,523,524,924,573,163,973,0,124,963,0,0,0,0,1,6,8,12,27
1,15,923,964,928,574,123,563,523,524,924,573,163,973,168,124,963,0,0,0,0,1,2,8,16,27
1,16,923,964,928,574,123,563,523,524,924,573,163,973,168,124,963,0,128,0,0,5,2,8,18,27
1,17,923,964,928,574,123,563,523,524,924,573,163,973,168,124,963,0,128,0,528,5,6,8,15,27
1,18,923,964,928,574,123,563,523,524,924,573,163,973,168,124,963,568,128,0,528,1,7,3,17,27
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,2,119
2,1,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,0,119
2,2,564,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,1,119
2,3,564,174,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,5,119
2,4,564,174,578,0,0,924,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,8,119
2,5,564,174,578,0,0,924,0,0,573,0,0,0,0,0,0,0,0,0,0,5,6,3,9,119
2,6,564,174,578,0,0,924,0,0,573,563,0,0,0,0,0,0,0,0,0,9,7,8,4,119
2,7,564,174,578,0,978,924,0,0,573,563,0,0,0,0,0,0,0,0,0,5,2,8,7,119
2,8,564,174,578,0,978,924,0,528,573,563,0,0,0,0,0,0,0,0,0,1,7,8,11,119
2,9,564,174,578,0,978,924,0,528,573,563,0,178,0,0,0,0,0,0,0,1,6,8,6,119
2,10,564,174,578,0,978,924,168,528,573,563,0,178,0,0,0,0,0,0,0,1,7,3,12,119
2,11,564,174,578,0,978,924,168,528,573,563,0,178,173,0,0,0,0,0,0,5,2,3,3,119
2,12,564,174,578,523,978,924,168,528,573,563,0,178,173,0,0,0,0,0,0,1,6,4,10,119
2,13,564,174,578,523,978,924,168,528,573,563,164,178,173,0,0,0,0,0,0,5,7,4,15,119
2,14,564,174,578,523,978,924,168,528,573,563,164,178,173,0,0,574,0,0,0,1,6,3,14,119
2,15,564,174,578,523,978,924,168,528,573,563,164,178,173,0,163,574,0,0,0,9,2,8,16,119
2,16,564,174,578,523,978,924,168,528,573,563,164,178,173,0,163,574,928,0,0,9,6,8,17,119
2,17,564,174,578,523,978,924,168,528,573,563,164,178,173,0,163,574,928,968,0,1,2,4,13,119
2,18,564,174,578,523,978,924,168,528,573,563,164,178,173,124,163,574,928,968,0,9,2,3,18,119
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,8,2,65
3,1,0,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,1,65
3,2,0,128,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,3,4,65
3,3,0,128,568,0,923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,6,65
3,4,0,128,568,0,923,0,924,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,8,65
3,5,0,128,568,0,923,0,924,0,573,0,0,0,0,0,0,0,0,0,0,1,2,4,10,65
3,6,0,128,568,0,923,0,924,0,573,0,124,0,0,0,0,0,0,0,0,9,7,4,3,65
3,7,0,128,568,974,923,0,924,0,573,0,124,0,0,0,0,0,0,0,0,9,6,4,5,65
3,8,0,128,568,974,923,964,924,0,573,0,124,0,0,0,0,0,0,0,0,9,2,8,11,65
3,9,0,128,568,974,923,964,924,0,573,0,124,928,0,0,0,0,0,0,0,5,2,3,14,65
3,10,0,128,568,974,923,964,924,0,573,0,124,928,0,0,523,0,0,0,0,9,7,3,0,65
3,11,973,128,568,974,923,964,924,0,573,0,124,928,0,0,523,0,0,0,0,5,7,4,15,65
3,12,973,128,568,974,923,964,924,0,573,0,124,928,0,0,523,574,0,0,0,5,2,4,12,65
3,13,973,128,568,974,923,964,924,0,573,0,124,928,524,0,523,574,0,0,0,9,6,8,16,65
3,14,973,128,568,974,923,964,924,0,573,0,124,928,524,0,523,574,968,0,0,1,7,3,7,65
3,15,973,128,568,974,923,964,924,173,573,0,124,928,524,0,523,574,968,0,0,1,6,4,9,65
3,16,973,128,568,974,923,964,924,173,573,164,124,928,524,0,523,574,968,0,0,5,2,8,17,65
3,17,973,128,568,974,923,964,924,173,573,164,124,928,524,0,523,574,968,528,0,1,7,4,18,65
3,18,973,128,568,974,923,964,924,173,573,164,124,928,524,0,523,574,968,528,174,1,7,8,13,65
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,1,105
4,1,0,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,4,105
4,2,0,564,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,6,105
4,3,0,564,0,0,168,0,163,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,8,105
4,4,0,564,0,0,168,0,163,0,563,0,0,0,0,0,0,0,0,0,0,1,2,3,3,105
4,5,0,564,0,123,168,0,163,0,563,0,0,0,0,0,0,0,0,0,0,9,7,8,0,105
4,6,978,564,0,123,168,0,163,0,563,0,0,0,0,0,0,0,0,0,0,9,6,3,2,105
4,7,978,564,963,123,168,0,163,0,563,0,0,0,0,0,0,0,0,0,0,5,7,8,9,105
4,8,978,564,963,123,168,0,163,0,563,578,0,0,0,0,0,0,0,0,0,9,2,4,7,105
4,9,978,564,963,123,168,0,163,924,563,578,0,0,0,0,0,0,0,0,0,5,7,3,11,105
4,10,978,564,963,123,168,0,163,924,563,578,0,573,0,0,0,0,0,0,0,1,6,4,12,105
4,11,978,564,963,123,168,0,163,924,563,578,0,573,164,0,0,0,0,0,0,1,7,3,13,105
4,12,978,564,963,123,168,0,163,924,563,578,0,573,164,173,0,0,0,0,0,9,7,4,10,105
4,13,978,564,963,123,168,0,163,924,563,578,974,573,164,173,0,0,0,0,0,1,7,4,5,105
4,14,978,564,963,123,168,174,163,924,563,578,974,573,164,173,0,0,0,0,0,5,2,3,17,105
4,15,978,564,963,123,168,174,163,924,563,578,974,573,164,173,0,0,0,523,0,5,2,8,14,105
4,16,978,564,963,123,168,174,163,924,563,578,974,573,164,173,528,0,0,523,0,1,2,8,18,105
4,17,978,564,963,123,168,174,163,924,563,578,974,573,164,173,528,0,0,523,128,5,7,4,15,105
4,18,978,564,963,123,168,174,163,924,563,578,974,573,164,173,528,574,0,523,128,9,2,8,16,105
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,8,3,57
5,1,0,0,0,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,2,57
5,2,0,0,563,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,8,6,57
5,3,0,0,563,978,0,0,928,0,0,0,0,0,0,0,0,0,0,0,0,9,7,4,4,57
5,4,0,0,563,978,974,0,928,0,0,0,0,0,0,0,0,0,0,0,0,5,2,8,8,57
5,5,0,0,563,978,974,0,928,0,528,0,0,0,0,0,0,0,0,0,0,9,2,4,5,57
5,6,0,0,563,978,974,924,928,0,528,0,0,0,0,0,0,0,0,0,0,9,2,3,9,57
5,7,0,0,563,978,974,924,928,0,528,923,0,0,0,0,0,0,0,0,0,5,7,8,7,57
5,8,0,0,563,978,974,924,928,578,528,923,0,0,0,0,0,0,0,0,0,9,6,8,1,57
5,9,0,968,563,978,974,924,928,578,528,923,0,0,0,0,0,0,0,0,0,9,6,4,10,57
5,10,0,968,563,978,974,924,928,578,528,923,964,0,0,0,0,0,0,0,0,5,2,3,11,57
5,11,0,968,563,978,974,924,928,578,528,923,964,523,0,0,0,0,0,0,0,5,6,4,14,57
5,12,0,968,563,978,974,924,928,578,528,923,964,523,0,0,564,0,0,0,0,1,6,3,15,57
5,13,0,968,563,978,974,924,928,578,528,923,964,523,0,0,564,163,0,0,0,9,6,3,12,57
5,14,0,968,563,978,974,924,928,578,528,923,964,523,963,0,564,163,0,0,0,1,2,4,13,57
5,15,0,968,563,978,974,924,928,578,528,923,964,523,963,124,564,163,0,0,0,9,7,3,0,57
5,16,973,968,563,978,974,924,928,578,528,923,964,523,963,124,564,163,0,0,0,1,7,4,17,57
5,17,973,968,563,978,974,924,928,578,528,923,964,523,963,124,564,163,0,174,0,5,2,4,16,57
5,18,973,968,563,978,974,924,928,578,528,923,964,523,963,124,564,163,524,174,0,1,7,3,18,57
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,4,0,98
6,1,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,4,98
6,2,964,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,1,98
6,3,964,924,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,3,98
6,4,964,924,0,564,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,8,98
6,5,964,924,0,564,174,0,0,0,164,0,0,0,0,0,0,0,0,0,0,5,6,3,7,98
6,6,964,924,0,564,174,0,0,563,164,0,0,0,0,0,0,0,0,0,0,9,7,4,2,98
6,7,964,924,974,564,174,0,0,563,164,0,0,0,0,0,0,0,0,0,0,9,7,8,9,98
6,8,964,924,974,564,174,0,0,563,164,978,0,0,0,0,0,0,0,0,0,9,2,8,10,98
6,9,964,924,974,564,174,0,0,563,164,978,928,0,0,0,0,0,0,0,0,1,6,3,11,98
6,10,964,924,974,564,174,0,0,563,164,978,928,163,0,0,0,0,0,0,0,5,7,8,13,98
6,11,964,924,974,564,174,0,0,563,164,978,928,163,0,578,0,0,0,0,0,5,6,8,12,98
6,12,964,924,974,564,174,0,0,563,164,978,928,163,568,578,0,0,0,0,0,1,7,3,5,98
6,13,964,924,974,564,174,173,0,563,164,978,928,163,568,578,0,0,0,0,0,5,2,8,6,98
6,14,964,924,974,564,174,173,528,563,164,978,928,163,568,578,0,0,0,0,0,5,7,4,16,98
6,15,964,924,974,564,174,173,528,563,164,978,928,163,568,578,0,0,574,0,0,1,6,8,15,98
6,16,964,924,974,564,174,173,528,563,164,978,928,163,568,578,0,168,574,0,0,5,2,4,14,98
6,17,964,924,974,564,174,173,528,563,164,978,928,163,568,578,524,168,574,0,0,1,7,8,17,98
6,18,964,924,974,564,174,173,528,563,164,978,928,163,568,578,524,168,574,178,0,9,6,8,18,98
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,3,86
7,1,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,2,86
7,2,0,0,178,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,6,86
7,3,0,0,178,174,0,0,564,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,8,86
7,4,0,0,178,174,0,0,564,0,924,0,0,0,0,0,0,0,0,0,0,9,2,3,9,86
7,5,0,0,178,174,0,0,564,0,924,923,0,0,0,0,0,0,0,0,0,1,6,4,0,86
7,6,164,0,178,174,0,0,564,0,924,923,0,0,0,0,0,0,0,0,0,1,6,8,5,86
7,7,164,0,178,174,0,168,564,0,924,923,0,0,0,0,0,0,0,0,0,9,7,3,7,86
7,8,164,0,178,174,0,168,564,973,924,923,0,0,0,0,0,0,0,0,0,5,2,8,1,86
7,9,164,528,178,174,0,168,564,973,924,923,0,0,0,0,0,0,0,0,0,9,7,8,10,86
7,10,164,528,178,174,0,168,564,973,924,923,978,0,0,0,0,0,0,0,0,5,7,4,13,86
7,11,164,528,178,174,0,168,564,973,924,923,978,0,0,574,0,0,0,0,0,9,6,3,11,86
7,12,164,528,178,174,0,168,564,973,924,923,978,963,0,574,0,0,0,0,0,9,7,4,14,86
7,13,164,528,178,174,0,168,564,973,924,923,978,963,0,574,974,0,0,0,0,1,2,8,15,86
7,14,164,528,178,174,0,168,564,973,924,923,978,963,0,574,974,128,0,0,0,5,6,3,12,86
7,15,164,528,178,174,0,168,564,973,924,923,978,963,563,574,974,128,0,0,0,1,6,3,16,86
7,16,164,528,178,174,0,168,564,973,924,923,978,963,563,574,974,128,163,0,0,5,7,3,18,86
7,17,164,528,178,174,0,168,564,973,924,923,978,963,563,574,974,128,163,0,573,9,6,8,4,86
7,18,164,528,178,174,968,168,564,973,924,923,978,963,563,574,974,128,163,0,573,5,6,8,17,86
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0,60
8,1,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,4,3,60
8,2,163,0,0,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,3,4,60
8,3,163,0,0,964,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,60
8,4,163,0,123,964,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,1,60
8,5,163,164,123,964,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,8,7,60
8,6,163,164,123,964,973,0,0,528,0,0,0,0,0,0,0,0,0,0,0,9,2,8,5,60
8,7,163,164,123,964,973,928,0,528,0,0,0,0,0,0,0,0,0,0,0,9,6,8,6,60
8,8,163,164,123,964,973,928,968,528,0,0,0,0,0,0,0,0,0,0,0,5,2,4,8,60
8,9,163,164,123,964,973,928,968,528,524,0,0,0,0,0,0,0,0,0,0,1,7,8,11,60
8,10,163,164,123,964,973,928,968,528,524,0,0,178,0,0,0,0,0,0,0,5,6,3,9,60
8,11,163,164,123,964,973,928,968,528,524,563,0,178,0,0,0,0,0,0,0,5,2,3,14,60
8,12,163,164,123,964,973,928,968,528,524,563,0,178,0,0,523,0,0,0,0,1,7,4,15,60
8,13,163,164,123,964,973,928,968,528,524,563,0,178,0,0,523,174,0,0,0,5,7,3,10,60
8,14,163,164,123,964,973,928,968,528,524,563,573,178,0,0,523,174,0,0,0,5,7,8,16,60
8,15,163,164,123,964,973,928,968,528,524,563,573,178,0,0,523,174,578,0,0,9,6,3,13,60
8,16,163,164,123,964,973,928,968,528,524,563,573,178,0,963,523,174,578,0,0,9,7,4,18,60
8,17,163,164,123,964,973,928,968,528,524,563,573,178,0,963,523,174,578,0,974,5,6,4,17,60
8,18,163,164,123,964,973,928,968,528,524,563,573,178,0,963,523,174,578,564,974,1,2,4,12,60
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,2,126
9,1,0,0,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,3,126
9,2,0,0,574,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,1,126
9,3,0,168,574,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,126
9,4,0,168,574,564,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,0,126
9,5,573,168,574,564,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,9,7,3,9,126
9,6,573,168,574,564,0,0,124,0,0,973,0,0,0,0,0,0,0,0,0,9,6,8,7,126
9,7,573,168,574,564,0,0,124,968,0,973,0,0,0,0,0,0,0,0,0,9,7,8,5,126
9,8,573,168,574,564,0,978,124,968,0,973,0,0,0,0,0,0,0,0,0,9,7,4,11,126
9,9,573,168,574,564,0,978,124,968,0,973,0,974,0,0,0,0,0,0,0,1,7,4,8,126
9,10,573,168,574,564,0,978,124,968,174,973,0,974,0,0,0,0,0,0,0,1,7,3,13,126
9,11,573,168,574,564,0,978,124,968,174,973,0,974,0,173,0,0,0,0,0,1,2,8,10,126
9,12,573,168,574,564,0,978,124,968,174,973,128,974,0,173,0,0,0,0,0,9,2,8,15,126
9,13,573,168,574,564,0,978,124,968,174,973,128,974,0,173,0,928,0,0,0,1,7,8,12,126
9,14,573,168,574,564,0,978,124,968,174,973,128,974,178,173,0,928,0,0,0,5,2,4,17,126
9,15,573,168,574,564,0,978,124,968,174,973,128,974,178,173,0,928,0,524,0,5,7,8,16,126
9,16,573,168,574,564,0,978,124,968,174,973,128,974,178,173,0,928,578,524,0,9,6,3,4,126
9,17,573,168,574,564,963,978,124,968,174,973,128,974,178,173,0,928,578,524,0,9,2,4,14,126
9,18,573,168,574,564,963,978,124,968,174,973,128,974,178,173,924,928,578,524,0,5,2,8,18,126
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,5,68
10,1,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,2,68
10,2,0,0,523,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,4,68
10,3,0,0,523,0,524,128,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,68
10,4,0,0,523,0,524,128,0,124,0,0,0,0,0,0,0,0,0,0,0,1,6,4,9,68
10,5,0,0,523,0,524,128,0,124,0,164,0,0,0,0,0,0,0,0,0,9,2,8,8,68
10,6,0,0,523,0,524,128,0,124,928,164,0,0,0,0,0,0,0,0,0,9,7,4,0,68
10,7,974,0,523,0,524,128,0,124,928,164,0,0,0,0,0,0,0,0,0,9,2,4,6,68
10,8,974,0,523,0,524,128,924,124,928,164,0,0,0,0,0,0,0,0,0,9,7,3,1,68
10,9,974,973,523,0,524,128,924,124,928,164,0,0,0,0,0,0,0,0,0,1,7,8,3,68
10,10,974,973,523,178,524,128,924,124,928,164,0,0,0,0,0,0,0,0,0,9,2,3,12,68
10,11,974,973,523,178,524,128,924,124,928,164,0,0,923,0,0,0,0,0,0,1,7,3,11,68
10,12,974,973,523,178,524,128,924,124,928,164,0,173,923,0,0,0,0,0,0,9,7,8,13,68
10,13,974,973,523,178,524,128,924,124,928,164,0,173,923,978,0,0,0,0,0,5,6,8,10,68
10,14,974,973,523,178,524,128,924,124,928,164,568,173,923,978,0,0,0,0,0,9,6,3,14,68
10,15,974,973,523,178,524,128,924,124,928,164,568,173,923,978,963,0,0,0,0,9,6,4,15,68
10,16,974,973,523,178,524,128,924,124,928,164,568,173,923,978,963,964,0,0,0,9,6,8,17,68
10,17,974,973,523,178,524,128,924,124,928,164,568,173,923,978,963,964,0,968,0,5,7,4,18,68
10,18,974,973,523,178,524,128,924,124,928,164,568,173,923,978,963,964,0,968,574,5,6,3,16,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,3,110
11,1,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,3,2,110
11,2,0,0,923,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,6,110
11,3,0,0,923,164,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,5,110
11,4,0,0,923,164,0,524,163,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,1,110
11,5,0,924,923,164,0,524,163,0,0,0,0,0,0,0,0,0,0,0,0,9,6,8,0,110
11,6,968,924,923,164,0,524,163,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,4,110
11,7,968,924,923,164,128,524,163,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,9,110
11,8,968,924,923,164,128,524,163,0,0,578,0,0,0,0,0,0,0,0,0,5,6,8,7,110
11,9,968,924,923,164,128,524,163,568,0,578,0,0,0,0,0,0,0,0,0,1,2,4,8,110
11,10,968,924,923,164,128,524,163,568,124,578,0,0,0,0,0,0,0,0,0,5,7,3,11,110
11,11,968,924,923,164,128,524,163,568,124,578,0,573,0,0,0,0,0,0,0,5,2,8,14,110
11,12,968,924,923,164,128,524,163,568,124,578,0,573,0,0,528,0,0,0,0,5,6,4,13,110
11,13,968,924,923,164,128,524,163,568,124,578,0,573,0,564,528,0,0,0,0,5,6,3,12,110
11,14,968,924,923,164,128,524,163,568,124,578,0,573,563,564,528,0,0,0,0,9,6,4,10,110
11,15,968,924,923,164,128,524,163,568,124,578,964,573,563,564,528,0,0,0,0,1,7,3,15,110
11,16,968,924,923,164,128,524,163,568,124,578,964,573,563,564,528,173,0,0,0,1,6,8,18,110
11,17,968,924,923,164,128,524,163,568,124,578,964,573,563,564,528,173,0,0,168,9,7,3,16,110
11,18,968,924,923,164,128,524,163,568,124,578,964,573,563,564,528,173,973,0,168,5,7,4,17,110
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,1,90
12,1,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,8,5,90
12,2,0,178,0,0,0,528,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,3,90
12,3,0,178,0,963,0,528,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,3,4,90
12,4,0,178,0,963,973,528,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,3,7,90
12,5,0,178,0,963,973,528,0,923,0,0,0,0,0,0,0,0,0,0,0,5,6,3,6,90
12,6,0,178,0,963,973,528,563,923,0,0,0,0,0,0,0,0,0,0,0,1,2,8,2,90
12,7,0,178,128,963,973,528,563,923,0,0,0,0,0,0,0,0,0,0,0,9,7,4,8,90
12,8,0,178,128,963,973,528,563,923,974,0,0,0,0,0,0,0,0,0,0,1,2,3,0,90
12,9,123,178,128,963,973,528,563,923,974,0,0,0,0,0,0,0,0,0,0,1,6,3,11,90
12,10,123,178,128,963,973,528,563,923,974,0,0,163,0,0,0,0,0,0,0,9,6,8,10,90
12,11,123,178,128,963,973,528,563,923,974,0,968,163,0,0,0,0,0,0,0,9,2,4,16,90
12,12,123,178,128,963,973,528,563,923,974,0,968,163,0,0,0,0,924,0,0,1,7,3,12,90
12,13,123,178,128,963,973,528,563,923,974,0,968,163,173,0,0,0,924,0,0,1,7,4,9,90
12,14,123,178,128,963,973,528,563,923,974,174,968,163,173,0,0,0,924,0,0,5,2,4,14,90
12,15,123,178,128,963,973,528,563,923,974,174,968,163,173,0,524,0,924,0,0,9,7,8,15,90
12,16,123,178,128,963,973,528,563,923,974,174,968,163,173,0,524,978,924,0,0,9,2,8,18,90
12,17,123,178,128,963,973,528,563,923,974,174,968,163,173,0,524,978,924,0,928,9,6,4,17,90
12,18,123,178,128,963,973,528,563,923,974,174,968,163,173,0,524,978,924,964,928,5,7,3,13,90
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,1,89
13,1,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,4,4,89
13,2,0,163,0,0,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,8,3,89
13,3,0,163,0,978,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,2,89
13,4,0,163,574,978,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,8,6,89
13,5,0,163,574,978,964,0,928,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,7,89
13,6,0,163,574,978,964,0,928,178,0,0,0,0,0,0,0,0,0,0,0,1,2,4,9,89
13,7,0,163,574,978,964,0,928,178,0,124,0,0,0,0,0,0,0,0,0,1,6,8,8,89
13,8,0,163,574,978,964,0,928,178,168,124,0,0,0,0,0,0,0,0,0,5,2,8,10,89
13,9,0,163,574,978,964,0,928,178,168,124,528,0,0,0,0,0,0,0,0,5,6,3,12,89
13,10,0,163,574,978,964,0,928,178,168,124,528,0,563,0,0,0,0,0,0,1,7,3,0,89
13,11,173,163,574,978,964,0,928,178,168,124,528,0,563,0,0,0,0,0,0,1,6,4,11,89
13,12,173,163,574,978,964,0,928,178,168,124,528,164,563,0,0,0,0,0,0,9,2,3,5,89
13,13,173,163,574,978,964,923,928,178,168,124,528,164,563,0,0,0,0,0,0,5,2,3,13,89
13,14,173,163,574,978,964,923,928,178,168,124,528,164,563,523,0,0,0,0,0,9,6,3,15,89
13,15,173,163,574,978,964,923,928,178,168,124,528,164,563,523,0,963,0,0,0,5,2,4,14,89
13,16,173,163,574,978,964,923,928,178,168,124,528,164,563,523,524,963,0,0,0,1,2,8,17,89
13,17,173,163,574,978,964,923,928,178,168,124,528,164,563,523,524,963,0,128,0,9,7,3,16,89
13,18,173,163,574,978,964,923,928,178,168,124,528,164,563,523,524,963,973,128,0,5,7,3,18,89
